NAME,DATE,TAVG,TMIN,TMAX
"EFFIE MINNESOTA, MN US",1/5/2021,17.0,17.0,17.0
"DAWSONVILLE GEORGIA, GA US",1/5/2021,46.0,46.0,46.0
"IOWA CITY MUNICIPAL AIRPORT, IA US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"MDC CLINTON HQTRS MISSOURI, MO US",1/5/2021,38.0,38.0,38.0
"PLEASANT GROVE UTAH, UT US",1/5/2021,35.0,35.0,35.0
"SAND CREEK NORTH DAKOTA, ND US",1/5/2021,34.0,34.0,34.0
"CAMPBELL 1.4 NNW, FL US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"KISATCHIE FTS LOUISIANA, LA US",1/5/2021,48.0,48.0,48.0
"ALLISON OREGON, OR US",1/5/2021,27.0,27.0,27.0
"CALAVERAS ROAD CALIFORNIA, CA US",1/5/2021,47.0,47.0,47.0
"ALBUQUERQUE 5.0 NE, NM US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"BUDE MISSISSIPPI, MS US",1/5/2021,51.0,51.0,51.0
"MARTINSBURG EASTERN WEST VIRGINIA REGIONAL AIRPORT, WV US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"MOUNT RUSHMORE SOUTH DAKOTA, SD US",1/5/2021,37.0,37.0,37.0
"ST. MARY MONTANA, MT US",1/5/2021,33.0,33.0,33.0
"BARKHAMSTED, CT US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"SPRUCE MOUNTAIN NEVADA, NV US",1/6/2021,27.0,27.0,27.0
"CASPER MOUNTAIN WYOMING, WY US",1/6/2021,18.0,18.0,18.0
"WISCONSIN RAPIDS ALEXANDER FIELD, WI US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"BLACK KNOB WASHINGTON, WA US",1/6/2021,42.0,42.0,42.0
"FORT BRAGG NORTH CAROLINA, NC US",1/6/2021,41.0,41.0,41.0
"COLORADO BEND TEXAS, TX US",1/6/2021,56.0,56.0,56.0
"MARTIN UNIVERSITY OF TN EXPERIMENT STATION, TN US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"SHOCK IDAHO, ID US",1/6/2021,35.0,35.0,35.0
"ELMORE VERMONT, VT US",1/6/2021,22.0,22.0,22.0
"ALLEGHENY PENNSYLVANIA, PA US",1/6/2021,29.0,29.0,29.0
